Name,Park,City/Region,City/State/Region,Country/Region,Geographic Region,Construction,Type,Status,Year/Date Opened,Height (feet), Speed (mph),Length (feet),Inversions (YES or NO),Number of Inversions,Drop (feet),Duration (min:sec),G Force,Vertical Angle (degrees)
Big Thunder Mountain Railroad,Disneyland,Anaheim,California,United States,North America,Steel,Sit Down,Operating,1979,104,28,2671,NO,0,,3:00,,
Bizarro,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Sit Down,Operating,1999,142,61,3985,YES,7,,2:20,,
Black Mamba,Phantasialand,Bruhl ,North Rhine-Westphalia,Germany,Europe,Steel,Inverted,Operating,2006,85.3,49.7,2519.7,YES,4,88.6,,4,
blue fire Megacoaster,Europa Park,Rust ,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,Operating,2009,124.7,62.1,3464.5,YES,4,,2:30,3.8,
Blue Hawk,Six Flags Over Georgia,Austell,Georgia,United States,North America,Steel,Sit Down,Operating,1992,122,52,2742,YES,5,,1:20,,
Blue Streak,Cedar Point,Sandusky,Ohio,United States,North America,Wood,Sit Down,Operating,1964,78,40,2558,NO,0,72,1:45,,
Boardwalk Bullet,Kemah Boardwalk,Kemah,Texas,United States,North America,Wood,Sit Down,Operating,2007,96,51,3236,NO,0,92,,,56
Bocaraca,Parque de Diversiones ,La Uruca,San Jose,Costa Rica,Central America,Steel,Sit Down,Operating,2005,64,37.3,1148.3,YES,2,,,,
Boomerang,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Sit Down,Operating,1988,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Walibi Rhone-Alpes,Les Avenieres,Auvergne-Rhone-Alpes,France,Europe,Steel,Sit Down,Operating,1988,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Fantasilandia,Santiago ,Metropolitan Region,Chile,South America,Steel,Sit Down,Operating,1996,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Parque de la Costa,Tigre,Buenos Aires,Argentina,South America,Steel,Sit Down,Operating,1998,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Sit Down,Operating,1999,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,Operating,1999,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Freizeit-Land Geiselwind,Geiselwind ,Bavaria,Germany,Europe,Steel,Sit Down,Operating,2000,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Sit Down,Operating,2000,116.5,47,935,YES,3,,1:48,5.2,
Boomerang,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Sit Down,Operating,2013,116.5,47,935,YES,3,,1:48,5.2,
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,Operating,1998,116.5,47,935,YES,3,,1:48,5.2,
Boss,Six Flags St. Louis,Eureka,Missouri,United States,North America,Wood,Sit Down,Operating,2000,122,66.3,4631,NO,0,150,,,52
Boulder Dash,Lake Compounce,Bristol,Connecticut,United States,North America,Wood,Sit Down,Operating,2000,110,60,4725,NO,0,115,2:30,,59
Bullet Coaster,Happy Valley,Nanshan,"Shenzhen, Guanagdong",China,Asia,Steel,Sit Down,Operating,2012,196.8,83,,NO,0,221.2,,5.2,
Cannibal,Lagoon,Farmington,Utah,United States,North America,Steel,Sit Down,Operating,2015,208,70,2735,YES,4,,2:30,,116
Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Steel,Operating,1969,48,42,2540,NO,0,,2:42,,
Coaster Express,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Wood,Sit Down,Operating,2002,120,49.7,4574,NO,0,120,2:00,,
Coaster Thrill Ride,Puyallup Fair,Puyallup,Washington,United States,North America,Wood,Sit Down,Operating,1935,55,50,2650,NO,0,,1:45,,
Coaster Through the Clouds,Nanchang Wanda Theme Park,Xinjian,"Nanchang, Jiangxi",China,Asia,Steel,Sit Down,Operating,2016,242.8,84.5,5105,NO,0,255.9,4:12,,
Colorado Adventure,Phantasialand,Bruhl ,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,Operating ,1996,85.3,31.1,4199.5,NO,0,,2:55,,
Colossus,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Sit Down,Operating,2002,98.4,45,2788.8,YES,10,,1:32,,
Comet,Walygator Parc,Maizieres-les-Metz ,Lorraine,France,Europe,Steel,Sit Down,Operating,1989,78.7,40.4,1935.7,YES,3,,1:15,,
Corkscrew,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Steel,Operating,1976,85,48,2050,YES,3,,2:00,,
Corkscrew,Valleyfair!,Shakopee,Minnesota,United States,North America,Steel,Sit Down,Operating,2005,85,50,1950,YES,3,,1:30,,
Crazy Bird,Happy Valley,Dongli,Tianjin,China,Asia,Steel,Sit Down,Operating,2013,98.4,,1279.5,YES,2,98,,,120
Crazy Coaster,Loca Joy Holiday Theme Park,Yongchuan,Chongqing,China,Asia,Steel,Sit Down,Operating,2013,108.3,52.8,2870.8,YES,10,,,,
Cyclone,Lakeside Amusement Park,Denver,Colorado,United States,North America,Wood,Sit Down,Operating,1940,80,55,2800,NO,0,80,2:00,,50
Demon,California's Great America,Santa Clara,California,United States,North America,Steel,Sit Down,Operating,1976,102,50,2130,YES,4,90,1:45,,54
Demon,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Sit Down,Operating ,1976,103.7,50,2130,YES,4,90,1:45,,54
Desafio,Parque de la Costa,Tigre,Buenos Aires,Argentina,South America,Steel,Inverted,Operating,1999,109.3,49.7,2260.5,YES,5,,1:36,,
Desert Race,Heide-Park Soltau,Soltau,Lower Saxony,Germany,Europe,Steel,Sit Down,Operating,2007,62.3,62.1,2132.6,NO,0,,0:49,,
